Code,Display,City_Population,Airport_Size,Passengers_Year,Sunny_Days
AUS,"Austin, TX - AUS","912,791",4242,6095545,228
BWI,"Baltimore/Washington, MD - BWI",614644,3596,12340000,213
BZE,"Belize City, Belize - BZE",57169,457,500000,
BHM,"Birmingham, AL - BHM",212413,2000,1304000,213
BOI,"Boise, ID - BOI",210145,5000,1633000,206
BOT,Boston Area Airports,673184,,,200
BOS,"Boston Logan, MA - BOS",673184,2384,17759000,200
BUF,"Buffalo/Niagara, NY - BUF",261025,1000,2313000,155
BUR,"Burbank, CA - BUR",104092,614,2077000,286
SJD,"Cabo San Lucas/Los Cabos, MX - SJD",287671,,2500000,300
CUN,"Cancun, Mexico - CUN",743626,,11000000,
CHS,"Charleston, SC - CHS",130113,2060,1811000,209
CLT,"Charlotte, NC - CLT",751087,5558,21511000,218
MDW,"Chicago (Midway), IL - MDW",2707000,650,11044000,189
CVG,"Cincinnati, OH - CVG",298165,7000,3269000,176
CLE,"Cleveland, OH - CLE",389521,1402,4083000,166
CMH,"Columbus, OH - CMH",797434,1164,3567000,178
CRP,"Corpus Christi, TX - CRP",307953,2457,325000,223
DAL,"Dallas (Love Field), TX - DAL",1223000,17207,7554000,232
DEN,"Denver, CO - DEN",619968,33351,28267000,245
DSM,"Des Moines, IA - DSM",206599,2625,1216000,204
DTW,"Detroit, MI - DTW",706585,4850,16847000,180
ELP,"El Paso, TX - ELP",665568,6670,1414000,297
FNT,"Flint, MI - FNT",101558,1550,398000,169
FLL,"Ft. Lauderdale, FL - FLL",168528,1380,14263000,246
RSW,"Ft. Myers, FL - RSW",63512,13555,4239000,271
GCM,"Grand Cayman, Cayman Islands - GCM",52601,,,
GRR,"Grand Rapids, MI - GRR",189815,3127,1334000,158
GSP,"Greenville/Spartanburg, SC - GSP",377568,3500,991000,221
HRL,"Harlingen, TX - HRL",66122,2428,263000,229
BDL,"Hartford, CT - BDL",124867,2432,2982000,190
HAV,"Havana, Cuba - HAV",2100000,,2000000,
HOU,"Houston (Hobby), TX - HOU",2303000,1304,6285000,204
IND,"Indianapolis, IN - IND",827609,7700,4216000,186
JAX,"Jacksonville, FL - JAX",827908,7911,2729000,221
MCI,"Kansas City, MO - MCI",470800,10200,5391000,215
LAS,"Las Vegas, NV - LAS",589317,2800,22833000,294
LIR,"Liberia, Costa Rica - LIR",56899,,550000,
LIT,"Little Rock, AR - LIT",195314,2000,958000,217
LGB,"Long Beach, CA - LGB",465576,1166,1386000,287
ISP,"Long Island/Islip, NY - ISP",7869820,1311,597000,207
LAX,"Los Angeles, CA - LAX",3858000,3500,39636000,284
LOS,Los Angeles Area Airports,17800000,,,284
SDF,"Louisville, KY - SDF",602011,1500,1631000,195
LBB,"Lubbock, TX - LBB",233740,3000,448000,
MHT,"Manchester, NH - MHT",109830,1500,995000,195
MEM,"Memphis, TN - MEM",652050,3900,2016000,218
MEX,"Mexico City, Mexico - MEX",8919000,,23000000,
MMA,Miami Area Airports,5500000,,,
MAF,"Midland/Odessa, TX - MAF",234000,1600,471000,266
MKE,"Milwaukee, WI - MKE",597867,2180,3327000,190
MSP,"Minneapolis/St. Paul (Terminal 2), MN - MSP",407207,2930,18123000,198
MBJ,"Montego Bay, Jamaica - MBJ",110115,,4284000,
BNA,"Nashville, TN - BNA",691243,3900,6338000,208
NAS,"Nassau, Bahamas - NAS",274400,,3300000,
MSY,"New Orleans, LA - MSY",360740,1500,5569000,216
NWY,New York Area Airports,8245000,,,
LGA,"New York (LaGuardia), NY - LGA",8245000,680,14762000,224
EWR,"New York/Newark, NJ - EWR",277540,2027,19923000,206
ORF,"Norfolk, VA - ORF",242628,1300,1602000,215
NFB,Northwest Florida Beaches Area Airports,37635,,,
OAK,"Oakland, CA - OAK",395817,2600,5934000,261
OKC,"Oklahoma City, OK - OKC",591967,8081,1796000,231
OMA,"Omaha, NE - OMA",415068,2650,2127000,214
ONT,"Ontario/LA, CA - ONT",166390,1741,2104000,279
SNA,"Orange County/Santa Ana, CA - SNA",329427,500,5217000,278
MCO,"Orlando, FL - MCO",255600,13302,20283000,233
ECP,"Panama City Beach, FL - ECP",12092,4000,434000,239
PNS,"Pensacola, FL - PNS",52197,1211,792000,224
PHL,"Philadelphia, PA - PHL",1568000,2302,14564000,207
PHX,"Phoenix, AZ - PHX",1469000,3400,20896000,299
PIT,"Pittsburgh, PA - PIT",307484,10000,3986000,160
PDX,"Portland, OR - PDX",593820,3000,9071000,144
PWM,"Portland, ME - PWM",66363,726,886000,203
PVD,"Providence, RI - PVD",178053,1111,1803000,200
PLS,"Providenciales, Turks and Caicos - PLS",23769,,,
PVR,"Puerto Vallarta, MX - PVR",255725,,2031000,280
PUJ,"Punta Cana, DO - PUJ",43982,,3100000,
RDU,"Raleigh/Durham, NC - RDU",403000,5000,5401000,213
RNO,"Reno/Tahoe, NV - RNO",227511,1450,1771000,252
RIC,"Richmond, VA - RIC",210309,2500,1777000,210
ROC,"Rochester, NY - ROC",210855,1136,1186000,165
SMF,"Sacramento, CA - SMF",472178,6000,4969000,269
SLC,"Salt Lake City, UT - SLC",190884,7700,11143000,222
SAT,"San Antonio, TX - SAT",1437000,2305,4179000,220
SAN,"San Diego, CA - SAN",1326000,663,10340000,266
SFO,"San Francisco, CA - SFO",884363,5207,25707000,259
SFC,San Francisco Area Airports,870887,,,259
SJC,"San Jose, CA - SJC",967487,1050,5321000,257
SJO,"San Jose, Costa Rica - SJO",333288,,2200000,
SJU,"San Juan, PR - SJU",389714,,4203000,
SEA,"Seattle/Tacoma, WA - SEA",662400,2500,21887000,152
GEG,"Spokane, WA - GEG",210103,4753,1570000,171
STL,"St. Louis, MO - STL",318069,2800,6793000,202
TPA,"Tampa, FL - TPA",346037,3300,9194000,246
TUS,"Tucson, AZ - TUS",525796,7938,1594000,286
TUL,"Tulsa, OK - TUL",396466,4360,1342000,227
IAD,"Washington (Dulles), DC - IAD",693972,13000,10596000,203
DCA,"Washington (Reagan National), DC - DCA",693972,861,11470000,203
WDC,"Washington, D.C. Area Airports",,,,203
PBI,"West Palm Beach, FL - PBI",101043,2120,3100000,238
ICT,"Wichita, KS - ICT",384445,3248,781000,221